No,Transaction date,House price of unit area ($/sq.feet),House age (months old),Distance to the nearest bus station (in metres),Number of convenience stores,Direction_facing,Balcony
139,05/07/2024,43.5,10,942.4664,0,East,Yes
140,04/07/2024,42.5,12.9,492.2313,5,North,Yes
141,05/07/2024,51.4,16.2,289.3248,5,East,Yes
142,05/07/2024,28.9,5.1,1559.827,3,West,No
143,05/07/2024,37.5,19.8,640.6071,5,South,Yes
144,05/07/2024,40.1,13.6,492.2313,5,North,Yes
145,05/07/2024,28.4,11.9,1360.139,1,East,No
146,04/07/2024,45.5,2.1,451.2438,5,North,Yes
147,04/07/2024,52.2,0,185.4296,0,East,Yes
148,04/07/2024,43.2,3.2,489.8821,8,East,Yes
149,05/07/2024,45.1,16.4,3780.59,0,South,No
150,04/07/2024,39.7,34.9,179.4538,8,East,Yes
151,05/07/2024,48.5,35.8,170.7311,7,South,Yes
152,05/07/2024,44.7,4.9,387.7721,9,West,Yes
153,05/07/2024,28.9,12,1360.139,1,North,Yes
154,05/07/2024,40.9,6.5,376.1709,6,West,No
155,05/07/2024,20.7,16.9,4066.587,0,West,No
156,05/07/2024,15.6,13.8,4082.015,0,West,Yes
157,05/07/2024,18.3,30.7,1264.73,0,South,Yes
158,05/07/2024,35.6,16.1,815.9314,4,South,No
159,05/07/2024,39.4,11.6,390.5684,5,West,No
160,04/07/2024,37.4,15.5,815.9314,4,South,Yes
161,04/07/2024,57.8,3.5,49.66105,8,West,Yes
162,05/07/2024,39.6,19.2,616.4004,3,West,Yes
163,04/07/2024,11.6,16,4066.587,0,West,Yes
164,05/07/2024,55.5,8.5,104.8101,5,East,No
165,04/07/2024,55.2,0,185.4296,0,East,Yes
166,04/07/2024,30.6,13.7,1236.564,1,West,No
167,05/07/2024,73.6,0,292.9978,6,West,No
168,05/07/2024,43.4,28.2,330.0854,8,East,No
169,05/07/2024,37.4,27.6,515.1122,5,East,No
170,05/07/2024,23.5,8.4,1962.628,1,North,No
171,05/07/2024,14.4,24,4527.687,0,East,No
172,05/07/2024,58.8,3.6,383.8624,5,North,Yes
173,05/07/2024,58.1,6.6,90.45606,9,South,No
174,05/07/2024,35.1,41.3,401.8807,4,East,Yes
175,05/07/2024,45.2,4.3,432.0385,7,North,Yes
176,05/07/2024,36.5,30.2,472.1745,3,East,Yes
177,04/07/2024,19.2,13.9,4573.779,0,West,Yes
178,05/07/2024,42,33,181.0766,9,North,No
179,05/07/2024,36.7,13.1,1144.436,4,North,No
180,05/07/2024,42.6,14,438.8513,1,South,No
181,04/07/2024,15.5,26.9,4449.27,0,East,No
182,05/07/2024,55.9,11.6,201.8939,8,East,No
183,05/07/2024,23.6,13.5,2147.376,3,South,Yes
184,05/07/2024,18.8,17,4082.015,0,North,Yes
185,04/07/2024,21.8,14.1,2615.465,0,South,Yes
186,04/07/2024,21.5,31.4,1447.286,3,East,No
187,05/07/2024,25.7,20.9,2185.128,3,West,No
188,05/07/2024,22,8.9,3078.176,0,West,Yes
189,04/07/2024,44.3,34.8,190.0392,8,North,No
190,04/07/2024,20.5,16.3,4066.587,0,West,Yes
191,05/07/2024,42.3,35.3,616.5735,8,West,No
192,05/07/2024,37.8,13.2,750.0704,2,West,Yes
193,05/07/2024,42.7,43.8,57.58945,7,West,Yes
194,05/07/2024,49.3,9.7,421.479,5,North,No
195,05/07/2024,29.3,15.2,3771.895,0,North,No
196,05/07/2024,34.6,15.2,461.1016,5,West,No
197,05/07/2024,36.6,22.8,707.9067,2,West,No
198,05/07/2024,48.2,34.4,126.7286,8,West,No
199,05/07/2024,39.1,34,157.6052,7,East,Yes
200,05/07/2024,31.6,18.2,451.6419,8,South,Yes
201,05/07/2024,25.5,17.4,995.7554,0,South,Yes
202,05/07/2024,45.9,13.1,561.9845,5,South,Yes
203,04/07/2024,31.5,38.3,642.6985,3,East,Yes
204,04/07/2024,46.1,15.6,289.3248,5,North,No
205,05/07/2024,26.6,18,1414.837,1,East,Yes
206,05/07/2024,21.4,12.8,1449.722,3,West,Yes
207,05/07/2024,44,22.2,379.5575,10,East,No
208,05/07/2024,34.2,38.5,665.0636,3,East,No
209,04/07/2024,26.2,11.5,1360.139,1,North,Yes
210,04/07/2024,40.9,34.8,175.6294,8,West,No
211,05/07/2024,52.2,5.2,390.5684,5,South,No
212,05/07/2024,43.5,0,274.0144,1,West,Yes
213,05/07/2024,31.1,17.6,1805.665,2,South,Yes
214,05/07/2024,58,6.2,90.45606,9,East,Yes
215,05/07/2024,20.9,18.1,1783.18,3,North,No
216,05/07/2024,48.1,19.2,383.7129,8,North,Yes
217,05/07/2024,39.7,37.8,590.9292,1,North,No
218,04/07/2024,40.8,28,372.6242,6,West,Yes
219,05/07/2024,43.8,13.6,492.2313,5,East,Yes
220,04/07/2024,40.2,29.3,529.7771,8,West,Yes
221,05/07/2024,78.3,37.2,186.5101,9,North,Yes
222,05/07/2024,38.5,9,1402.016,0,East,No
223,05/07/2024,48.5,30.6,431.1114,10,East,Yes
224,05/07/2024,42.3,9.1,1402.016,0,East,Yes
225,05/07/2024,46,34.5,324.9419,6,West,Yes
226,05/07/2024,49,1.1,193.5845,6,South,Yes
227,05/07/2024,12.8,16.5,4082.015,0,East,No
228,04/07/2024,40.2,32.4,265.0609,8,West,Yes
229,05/07/2024,46.6,11.9,3171.329,0,North,No
230,05/07/2024,19,31,1156.412,0,South,No
231,05/07/2024,33.4,4,2147.376,3,North,No
232,04/07/2024,14.7,16.2,4074.736,0,East,No
233,04/07/2024,17.4,27.1,4412.765,1,East,No
234,05/07/2024,32.4,39.7,333.3679,9,South,Yes
235,05/07/2024,23.9,8,2216.612,4,West,Yes
236,04/07/2024,39.3,12.9,250.631,7,North,No
237,05/07/2024,61.9,3.6,373.8389,10,East,No
238,05/07/2024,39,13,732.8528,0,North,Yes
239,05/07/2024,40.6,12.8,732.8528,0,West,Yes
240,05/07/2024,29.7,18.1,837.7233,0,South,Yes
241,05/07/2024,28.8,11,1712.632,2,South,Yes
242,05/07/2024,41.4,13.7,250.631,7,North,Yes
243,04/07/2024,33.4,2,2077.39,3,North,No
244,05/07/2024,48.2,32.8,204.1705,8,East,Yes
245,05/07/2024,21.7,4.8,1559.827,3,West,No
246,05/07/2024,40.8,7.5,639.6198,5,East,No
247,05/07/2024,40.6,16.4,389.8219,6,North,No
248,05/07/2024,23.1,21.7,1055.067,0,West,No
249,05/07/2024,22.3,19,1009.235,0,West,No
250,04/07/2024,15,18,6306.153,1,East,Yes
251,05/07/2024,30,39.2,424.7132,7,North,Yes
252,04/07/2024,13.8,31.7,1159.454,0,South,No
253,04/07/2024,52.7,5.9,90.45606,9,West,No
254,04/07/2024,25.9,30.4,1735.595,2,North,No
255,04/07/2024,51.8,1.1,329.9747,5,West,Yes
256,05/07/2024,17.4,31.5,5512.038,1,North,Yes
257,04/07/2024,26.5,14.6,339.2289,1,South,Yes
258,05/07/2024,43.9,17.3,444.1334,1,East,No
259,05/07/2024,63.3,0,292.9978,6,North,Yes
260,05/07/2024,28.8,17.7,837.7233,0,North,No
261,05/07/2024,30.7,17,1485.097,4,West,No
262,05/07/2024,24.4,16.2,2288.011,3,East,Yes
263,04/07/2024,53,15.9,289.3248,5,South,Yes
264,05/07/2024,31.7,3.9,2147.376,3,East,No
265,05/07/2024,40.6,32.6,493.657,7,South,No
266,04/07/2024,38.1,15.7,815.9314,4,North,Yes
267,05/07/2024,23.7,17.8,1783.18,3,South,Yes
268,04/07/2024,41.1,34.7,482.7581,5,East,No
269,05/07/2024,40.1,17.2,390.5684,5,North,No
270,05/07/2024,23,17.6,837.7233,0,North,No
271,05/07/2024,117.5,10.8,252.5822,1,East,Yes
272,04/07/2024,26.5,17.7,451.6419,8,South,No
273,04/07/2024,40.5,13,492.2313,5,West,Yes
274,05/07/2024,29.3,13.2,170.1289,1,East,Yes
275,05/07/2024,41,27.5,394.0173,7,North,No
276,04/07/2024,49.7,1.5,23.38284,7,West,No
277,05/07/2024,34,19.1,461.1016,5,East,No
278,05/07/2024,27.7,21.2,2185.128,3,South,No
279,04/07/2024,44,0,208.3905,6,West,No
280,05/07/2024,31.1,2.6,1554.25,3,South,No
281,05/07/2024,45.4,2.3,184.3302,6,West,Yes
282,05/07/2024,44.8,4.7,387.7721,9,West,Yes
283,04/07/2024,25.6,2,1455.798,1,East,Yes
284,05/07/2024,23.5,33.5,1978.671,2,East,No
285,04/07/2024,34.4,15,383.2805,7,South,No
286,05/07/2024,55.3,30.1,718.2937,3,North,No
287,04/07/2024,56.3,5.9,90.45606,9,East,Yes
288,05/07/2024,32.9,19.2,461.1016,5,North,No
289,05/07/2024,51,16.6,323.6912,6,West,No
290,05/07/2024,44.5,13.9,289.3248,5,East,Yes
291,05/07/2024,37,37.7,490.3446,0,East,No
292,04/07/2024,54.4,3.4,56.47425,7,North,Yes
293,05/07/2024,24.5,17.5,395.6747,5,West,Yes
294,04/07/2024,42.5,12.6,383.2805,7,West,No
295,05/07/2024,38.1,26.4,335.5273,6,South,Yes
296,05/07/2024,21.8,18.2,2179.59,3,South,No
297,04/07/2024,34.1,12.5,1144.436,4,East,No
298,04/07/2024,28.5,34.9,567.0349,4,West,No
299,05/07/2024,16.7,16.7,4082.015,0,East,No
300,05/07/2024,46.1,33.2,121.7262,10,East,Yes
301,05/07/2024,36.9,2.5,156.2442,4,East,Yes
302,04/07/2024,35.7,38,461.7848,0,West,Yes
303,05/07/2024,23.2,16.5,2288.011,3,West,Yes
304,05/07/2024,38.4,38.3,439.7105,0,East,Yes
305,05/07/2024,29.4,20,1626.083,3,South,No
306,05/07/2024,55,16.2,289.3248,5,North,Yes
307,05/07/2024,50.2,14.4,169.9803,1,South,No
308,04/07/2024,24.7,10.3,3079.89,0,South,No
309,05/07/2024,53,16.4,289.3248,5,East,No
310,05/07/2024,19.1,30.3,1264.73,0,East,No
311,05/07/2024,24.7,16.4,1643.499,2,West,No
312,05/07/2024,42.2,21.3,537.7971,4,North,Yes
313,05/07/2024,78,35.4,318.5292,9,North,No
314,05/07/2024,42.8,8.3,104.8101,5,South,Yes
315,05/07/2024,41.6,3.7,577.9615,6,West,No
316,05/07/2024,27.3,15.6,1756.411,2,East,No
317,05/07/2024,42,13.3,250.631,7,East,No
318,04/07/2024,37.5,15.6,752.7669,2,East,Yes
319,05/07/2024,49.8,7.1,379.5575,10,South,No
320,05/07/2024,26.9,34.6,272.6783,5,North,No
321,04/07/2024,18.6,13.5,4197.349,0,East,Yes
322,04/07/2024,37.7,16.9,964.7496,4,South,Yes
323,05/07/2024,33.1,12.9,187.4823,1,West,No
324,05/07/2024,42.5,28.6,197.1338,6,East,No
325,04/07/2024,31.3,12.4,1712.632,2,North,Yes
326,05/07/2024,38.1,36.6,488.8193,8,East,Yes
327,05/07/2024,62.1,4.1,56.47425,7,West,No
328,05/07/2024,36.7,3.5,757.3377,3,West,Yes
329,04/07/2024,23.6,15.9,1497.713,3,South,No
330,05/07/2024,19.2,13.6,4197.349,0,South,No
331,05/07/2024,12.8,32,1156.777,0,North,No
332,05/07/2024,15.6,25.6,4519.69,0,South,No
333,05/07/2024,39.6,39.8,617.7134,2,West,No
334,04/07/2024,38.4,7.8,104.8101,5,North,No
335,04/07/2024,22.8,30,1013.341,5,North,No
336,05/07/2024,36.5,27.3,337.6016,6,East,Yes
337,04/07/2024,35.6,5.1,1867.233,2,East,Yes
338,04/07/2024,30.9,31.3,600.8604,5,South,Yes
339,04/07/2024,36.3,31.5,258.186,9,West,Yes
340,05/07/2024,50.4,1.7,329.9747,5,East,No
341,05/07/2024,42.9,33.6,270.8895,0,South,Yes
342,05/07/2024,37,13,750.0704,2,North,Yes
343,04/07/2024,53.5,5.7,90.45606,9,East,Yes
344,05/07/2024,46.6,33.5,563.2854,8,North,No
345,05/07/2024,41.2,34.6,3085.17,0,South,Yes
346,04/07/2024,37.9,0,185.4296,0,North,Yes
347,05/07/2024,30.8,13.2,1712.632,2,North,No
348,05/07/2024,11.2,17.4,6488.021,1,East,Yes
349,04/07/2024,53.7,4.6,259.6607,6,West,Yes
350,04/07/2024,47,7.8,104.8101,5,East,Yes
351,05/07/2024,42.3,13.2,492.2313,5,East,No
352,04/07/2024,28.6,4,2180.245,3,East,Yes
353,04/07/2024,25.7,18.4,2674.961,3,North,No
354,05/07/2024,31.3,4.1,2147.376,3,South,Yes
355,05/07/2024,30.1,12.2,1360.139,1,East,No
356,05/07/2024,60.7,3.8,383.8624,5,South,No
357,04/07/2024,45.3,10.3,211.4473,1,West,No
358,05/07/2024,44.9,0,338.9679,9,East,No
359,05/07/2024,45.1,1.1,193.5845,6,East,Yes
360,05/07/2024,24.7,5.6,2408.993,0,West,No
361,04/07/2024,47.1,32.9,87.30222,10,East,Yes
362,05/07/2024,63.3,41.4,281.205,8,East,Yes
363,05/07/2024,40,17.1,967.4,4,East,Yes
364,05/07/2024,48,32.3,109.9455,10,East,No
365,05/07/2024,33.1,35.3,614.1394,7,West,Yes
366,04/07/2024,29.5,17.3,2261.432,4,South,Yes
367,04/07/2024,24.8,14.2,1801.544,1,South,No
368,04/07/2024,20.9,15,1828.319,2,South,No
369,05/07/2024,43.1,18.2,350.8515,1,South,No
370,04/07/2024,22.8,20.2,2185.128,3,West,Yes
371,04/07/2024,42.1,15.9,289.3248,5,North,Yes
372,05/07/2024,51.7,4.1,312.8963,5,South,Yes
373,05/07/2024,41.5,33.9,157.6052,7,West,No
374,05/07/2024,52.2,0,274.0144,1,North,No
375,05/07/2024,49.5,5.4,390.5684,5,West,Yes
376,05/07/2024,23.8,21.7,1157.988,0,South,No
377,05/07/2024,30.5,14.7,1717.193,2,East,Yes
378,05/07/2024,56.8,3.9,49.66105,8,West,No
379,05/07/2024,37.4,37.3,587.8877,8,North,Yes
380,05/07/2024,69.7,0,292.9978,6,East,No
381,05/07/2024,53.3,14.1,289.3248,5,South,Yes
382,05/07/2024,47.3,8,132.5469,9,South,Yes
383,05/07/2024,29.3,16.3,3529.564,0,West,Yes
384,04/07/2024,40.3,29.1,506.1144,4,East,Yes
385,04/07/2024,12.9,16.1,4066.587,0,West,Yes
386,05/07/2024,46.6,18.3,82.88643,10,West,Yes
387,04/07/2024,55.3,0,185.4296,0,West,Yes
388,05/07/2024,25.6,16.2,2103.555,3,North,No
389,05/07/2024,27.3,10.4,2251.938,4,South,No
390,05/07/2024,67.7,40.9,122.3619,8,North,No
391,05/07/2024,38.6,32.8,377.8302,9,North,Yes
392,05/07/2024,31.3,6.2,1939.749,1,South,Yes
393,05/07/2024,35.3,42.7,443.802,6,West,No
394,05/07/2024,40.3,16.9,967.4,4,East,Yes
395,05/07/2024,24.7,32.6,4136.271,1,North,No
396,04/07/2024,42.5,21.2,512.5487,4,North,No
397,04/07/2024,31.9,37.1,918.6357,1,South,Yes
398,05/07/2024,32.2,13.1,1164.838,4,North,Yes
399,05/07/2024,23,14.7,1717.193,2,East,Yes
400,04/07/2024,37.3,12.7,170.1289,1,South,No
401,05/07/2024,35.5,26.8,482.7581,5,East,Yes
402,05/07/2024,27.7,7.6,2175.03,3,South,No
403,04/07/2024,28.5,12.7,187.4823,1,East,Yes
404,04/07/2024,39.7,30.9,161.942,9,North,No
405,05/07/2024,41.2,16.4,289.3248,5,North,Yes
406,04/07/2024,37.2,23,130.9945,6,West,No
407,05/07/2024,40.5,1.9,372.1386,7,East,No
408,05/07/2024,22.3,5.2,2408.993,0,West,No
409,05/07/2024,28.1,18.5,2175.744,3,East,No
410,05/07/2024,15.4,13.7,4082.015,0,West,Yes
411,04/07/2024,50,5.6,90.45606,9,South,No
412,05/07/2024,40.6,18.8,390.9696,7,West,No
413,05/07/2024,52.5,8.1,104.8101,5,West,Yes
414,05/07/2024,63.9,6.5,90.45606,9,South,No
